Full_Date,Open,High,Low,Close,Index
3/2/2017,344.84,344.9,344.62,344.68,DJ Global Index (World)
3/1/2017,346.76,347.19,346.72,347.13,DJ Global Index (World)
2/28/2017,343,343.12,342.95,343.07,DJ Global Index (World)
2/27/2017,344.14,344.43,344.12,344.4,DJ Global Index (World)
2/26/2017,343.88,343.88,343.88,343.88,DJ Global Index (World)
2/24/2017,344.35,344.35,343.11,344.35,DJ Global Index (World)
2/23/2017,345.17,345.24,345.12,345.16,DJ Global Index (World)
2/22/2017,345.01,345.02,344.83,344.97,DJ Global Index (World)
2/21/2017,345.11,345.38,345.07,345.37,DJ Global Index (World)
2/20/2017,343.72,343.78,343.56,343.63,DJ Global Index (World)
2/19/2017,343.37,343.37,343.23,343.37,DJ Global Index (World)
2/17/2017,343.56,343.56,342.48,343.56,DJ Global Index (World)
2/16/2017,343.61,343.67,343.38,343.63,DJ Global Index (World)
2/15/2017,343.6,343.77,343.6,343.66,DJ Global Index (World)
2/14/2017,341.87,342.03,341.75,342.02,DJ Global Index (World)
2/13/2017,341.52,341.56,341.36,341.37,DJ Global Index (World)
2/12/2017,339.83,339.83,339.65,339.83,DJ Global Index (World)
2/10/2017,339.7,340.21,339.7,339.7,DJ Global Index (World)
2/9/2017,338.33,338.8,338.32,338.71,DJ Global Index (World)
2/8/2017,336.92,336.97,336.7,336.85,DJ Global Index (World)
2/7/2017,336.28,336.28,336.08,336.25,DJ Global Index (World)
2/6/2017,336.65,336.65,336.43,336.51,DJ Global Index (World)
2/5/2017,337.73,337.84,337.73,337.73,DJ Global Index (World)
2/3/2017,337.59,337.75,337.59,337.59,DJ Global Index (World)
2/2/2017,335.41,335.65,335.14,335.56,DJ Global Index (World)
2/1/2017,335.52,335.79,335.5,335.67,DJ Global Index (World)
1/31/2017,334.69,334.75,334.47,334.56,DJ Global Index (World)
1/30/2017,334.64,334.66,334.44,334.52,DJ Global Index (World)
1/29/2017,336.72,336.88,336.72,336.72,DJ Global Index (World)
1/27/2017,336.83,336.83,336.31,336.83,DJ Global Index (World)
1/26/2017,337.23,337.24,337,337.07,DJ Global Index (World)
1/25/2017,337.62,338.02,337.62,337.91,DJ Global Index (World)
1/24/2017,334.55,334.75,334.55,334.71,DJ Global Index (World)
1/23/2017,332.81,332.89,332.74,332.83,DJ Global Index (World)
1/22/2017,332.87,332.87,332.87,332.87,DJ Global Index (World)
1/20/2017,332.47,332.86,331.27,332.47,DJ Global Index (World)
1/19/2017,331.72,331.97,331.66,331.93,DJ Global Index (World)
1/18/2017,332.29,332.54,332.25,332.29,DJ Global Index (World)
1/17/2017,332.58,332.68,332.33,332.45,DJ Global Index (World)
1/16/2017,332.28,332.31,332.1,332.25,DJ Global Index (World)
1/15/2017,333.5,333.58,333.5,333.5,DJ Global Index (World)
1/13/2017,333.56,333.9,333.56,333.56,DJ Global Index (World)
1/12/2017,332.3,332.38,332.1,332.36,DJ Global Index (World)
1/11/2017,332.88,332.94,332.52,332.84,DJ Global Index (World)
1/10/2017,331.37,331.6,331.36,331.6,DJ Global Index (World)
1/9/2017,331.1,331.14,330.96,331.11,DJ Global Index (World)
1/8/2017,331.5,331.72,331.5,331.5,DJ Global Index (World)
1/6/2017,332.06,332.06,330.92,332.06,DJ Global Index (World)
1/5/2017,332.03,332.1,331.74,331.78,DJ Global Index (World)
1/4/2017,330.63,331.09,330.63,330.98,DJ Global Index (World)
1/3/2017,327.68,327.9,327.64,327.87,DJ Global Index (World)
1/2/2017,325.57,325.76,325.54,325.76,DJ Global Index (World)
1/1/2017,325.77,325.81,325.77,325.77,DJ Global Index (World)
12/30/2016,326.05,327.09,325.4,326.05,DJ Global Index (World)
12/29/2016,326.4,326.6,326.35,326.58,DJ Global Index (World)
12/28/2016,325.43,325.5,325.31,325.45,DJ Global Index (World)
12/27/2016,326.83,326.94,326.76,326.92,DJ Global Index (World)
12/26/2016,326.2,326.27,326.06,326.21,DJ Global Index (World)
12/25/2016,326.3,326.43,326.25,326.3,DJ Global Index (World)
12/23/2016,326.36,326.36,325.76,326.36,DJ Global Index (World)
12/22/2016,325.98,326.04,325.89,325.91,DJ Global Index (World)
12/21/2016,326.79,326.93,326.74,326.81,DJ Global Index (World)
12/20/2016,327.44,327.65,327.3,327.41,DJ Global Index (World)
12/19/2016,326.51,326.64,326.42,326.49,DJ Global Index (World)
12/18/2016,326.53,326.53,326.53,326.53,DJ Global Index (World)
12/16/2016,326.18,327.23,326.18,326.18,DJ Global Index (World)
12/15/2016,326.57,326.6,326.42,326.51,DJ Global Index (World)
12/14/2016,326.48,326.57,326.01,326.13,DJ Global Index (World)
12/13/2016,330.29,330.38,330.15,330.23,DJ Global Index (World)
12/12/2016,328.11,328.28,328.04,328.2,DJ Global Index (World)
12/11/2016,328.47,328.47,328.47,328.47,DJ Global Index (World)
12/9/2016,328.22,328.25,327.08,328.22,DJ Global Index (World)
12/8/2016,327.43,327.44,327.26,327.29,DJ Global Index (World)
12/7/2016,326.43,326.75,326.43,326.69,DJ Global Index (World)
12/6/2016,322.41,322.48,322.31,322.46,DJ Global Index (World)
12/5/2016,320.97,321.31,320.97,321.27,DJ Global Index (World)
12/4/2016,318.36,318.36,318.36,318.36,DJ Global Index (World)
12/2/2016,318.8,319.57,318,318.8,DJ Global Index (World)
12/1/2016,319.08,319.23,318.98,319.01,DJ Global Index (World)
11/30/2016,319.58,320.07,319.57,320.06,DJ Global Index (World)
11/29/2016,320.27,320.42,320.25,320.38,DJ Global Index (World)
11/28/2016,319.99,320.05,319.87,319.99,DJ Global Index (World)
11/27/2016,320.84,320.84,320.84,320.84,DJ Global Index (World)
11/25/2016,320.77,320.84,320.77,320.77,DJ Global Index (World)
11/24/2016,319.42,319.5,319.29,319.48,DJ Global Index (World)
11/23/2016,319.3,319.39,319.12,319.21,DJ Global Index (World)
11/22/2016,319.97,320.01,319.84,320,DJ Global Index (World)
11/21/2016,318.91,319.35,318.9,319.35,DJ Global Index (World)
11/20/2016,316.61,316.61,316.59,316.61,DJ Global Index (World)
